"Price","Age_08_04","KM","HP","cc","Quarterly_Tax","Weight","Age2","weight2","Quarterly_Tax2","pred","Error"
13500,23,46986,90,2000,210,1165,529,1357225,44100,16219.2281414205,-2719.22814142047
13750,23,72937,90,2000,210,1165,529,1357225,44100,15807.4252452601,-2057.42524526011
13950,24,41711,90,2000,210,1165,576,1357225,44100,16131.4685425765,-2181.46854257655
14950,26,48000,90,2000,210,1165,676,1357225,44100,15694.8877330818,-744.887733081827
13750,30,38500,90,2000,210,1170,900,1368900,44100,15331.7006097786,-1581.70060977861
12950,32,61000,90,2000,210,1170,1024,1368900,44100,14662.4667068432,-1712.46670684324
16900,27,94612,90,2000,210,1245,729,1550025,44100,17181.2339360226,-281.233936022611
18600,30,75889,90,2000,210,1245,900,1550025,44100,16994.6805140542,1605.31948594579
21500,27,19700,192,1800,100,1185,729,1404225,10000,20410.4493480519,1089.55065194811
12950,23,71138,69,1900,185,1105,529,1221025,34225,14030.8458479501,-1080.84584795005
20950,25,31461,192,1800,100,1185,625,1404225,10000,20556.5056435526,393.494356447351
19950,22,43610,192,1800,100,1185,484,1404225,10000,20878.1169685529,-928.116968552906
19600,25,32189,192,1800,100,1185,625,1404225,10000,20544.9533909071,-944.953390907096
21500,31,23000,192,1800,100,1185,961,1404225,10000,19717.3032339092,1782.69676609076
22500,32,34131,192,1800,100,1185,1024,1404225,10000,19385.5992488546,3114.40075114545
22000,28,18739,192,1800,100,1185,784,1404225,10000,20262.4300705786,1737.56992942138
22750,30,34000,192,1800,100,1185,900,1404225,10000,19699.8711470806,3050.12885291938
17950,24,21716,110,1600,85,1105,576,1221025,7225,16429.4749938101,1520.52500618986
16750,24,25563,110,1600,19,1065,576,1134225,361,14736.5864935257,2013.41350647428
16950,30,64359,110,1600,85,1105,900,1221025,7225,14767.0344289408,2182.96557105918
15950,30,67660,110,1600,85,1105,900,1221025,7225,14714.6525800631,1235.34741993688
16950,29,43905,110,1600,100,1170,841,1368900,10000,16960.4607247847,-10.4607247846507
15950,28,56349,110,1600,85,1120,784,1254400,7225,15556.2079611267,393.792038873316
16950,28,32220,110,1600,85,1120,784,1254400,7225,15939.0984887153,1010.90151128466
16250,29,25813,110,1600,85,1120,841,1254400,7225,15879.5481822247,370.451817775278
15950,25,28450,110,1600,85,1120,625,1254400,7225,16494.8770158521,-544.877015852078
17495,27,34545,110,1600,85,1120,729,1254400,7225,16065.4731609571,1429.5268390429
15750,29,41415,110,1600,85,1120,841,1254400,7225,15631.9681742908,118.031825709224
16950,28,44142,110,1600,85,1120,784,1254400,7225,15749.9144831655,1200.08551683449
17950,30,11090,110,1600,85,1120,900,1254400,7225,15954.0093811848,1995.9906188152
12950,29,9750,97,1400,19,1100,841,1210000,361,14830.9997864839,-1880.99978648394
15750,22,35199,97,1400,85,1100,484,1210000,7225,16404.0266201728,-654.026620172819
15950,27,29510,97,1400,85,1100,729,1210000,7225,15647.2194454759,302.780554524097
14950,26,32692,97,1400,85,1100,676,1210000,7225,15762.0440661386,-812.044066138626
15500,22,41000,97,1400,85,1100,484,1210000,7225,16311.9735740233,-811.973574023299
15750,26,43000,97,1400,85,1100,676,1210000,7225,15598.4717855475,151.528214452524
15950,25,25000,97,1400,85,1100,625,1210000,7225,16051.4717613006,-101.47176130055
14950,23,10000,97,1400,85,1100,529,1210000,7225,16630.3813602606,-1680.38136026064
15750,32,25329,97,1400,85,1100,1024,1210000,7225,14917.7134757278,832.286524272216
14750,27,27500,97,1400,85,1100,729,1210000,7225,15679.1150880824,-929.115088082444
13950,22,49059,97,1400,85,1100,484,1210000,7225,16184.0895024979,-2234.08950249788
16750,27,44068,97,1400,85,1100,729,1210000,7225,15416.2061295227,1333.79387047733
13950,22,46961,97,1400,85,1100,484,1210000,7225,16217.3815712484,-2267.38157124838
16950,27,110404,90,2000,234,1255,729,1575025,54756,17027.102193217,-77.1021932169751
16950,22,100250,90,2000,234,1255,484,1575025,54756,18035.3136792648,-1085.31367926484
19000,23,84000,90,2000,234,1270,529,1612900,54756,18634.3599453542,365.640054645846
17950,27,79375,90,2000,234,1255,729,1575025,54756,17519.4852252758,430.514774724157
15800,22,75048,97,1400,85,1110,484,1232100,7225,15993.7008504923,-193.70085049232
17950,22,72215,90,2000,234,1255,484,1575025,54756,18480.186485471,-530.186485470978
21950,31,64982,192,1800,100,1195,961,1428025,10000,19338.4937121945,2611.50628780555
17950,22,62636,90,2000,234,1255,484,1575025,54756,18632.1906449377,-682.190644937669
15750,30,57086,97,1400,85,1110,900,1232100,7225,14947.9885648657,802.01143513428
20500,26,56000,110,1600,100,1180,676,1392400,10000,17534.1843163619,2965.81568363807
21950,27,49866,192,1800,100,1195,729,1428025,10000,20219.1417731226,1730.85822687738
15500,25,49163,110,1600,100,1165,625,1357225,10000,17399.1588750016,-1899.15887500158
13250,32,45725,110,1600,85,1075,1024,1155625,7225,14119.0871172772,-869.087117277153
15250,28,43210,97,1400,85,1110,784,1232100,7225,15488.5696450751,-238.569645075137
15250,26,43000,97,1400,85,1110,676,1232100,7225,15820.4890319008,-570.489031900806
18950,23,39704,110,1600,100,1180,529,1392400,10000,18301.0268193837,648.973180616282
15999,30,38950,110,1600,85,1130,900,1276900,7225,15749.31050243,249.68949757004
14950,22,37400,97,1400,85,1110,484,1232100,7225,16591.117344448,-1641.11734444805
16500,27,37177,110,1600,85,1130,729,1276900,7225,16261.1042681116,238.895731888375
18750,31,36544,110,1600,85,1130,961,1276900,7225,15630.368881517,3119.63111848301
17950,30,33511,110,1600,85,1130,900,1276900,7225,15835.6191592145,2114.38084078547
17950,27,32809,97,1400,85,1110,729,1232100,7225,15816.8865799093,2133.11342009065
16950,26,32181,110,1600,19,1075,676,1155625,361,14489.8877305677,2460.11226943229
18950,28,30993,110,1600,85,1130,784,1276900,7225,16195.9660559786,2754.03394402136
14950,22,30400,97,1400,85,1110,484,1232100,7225,16702.1966968091,-1752.19669680913
22250,22,30000,110,2000,234,1275,484,1625625,54756,20500.5675706991,1749.43242930091
15950,25,29719,97,1400,85,1110,625,1232100,7225,16198.6056556836,-248.605655683599
15950,28,29206,97,1400,85,1110,784,1232100,7225,15710.7918237129,239.208176287064
12995,32,29198,97,1400,85,1060,1024,1123600,7225,14045.1478318613,-1050.14783186134
18950,28,28817,110,1598,85,1130,784,1276900,7225,16234.3240878216,2715.67591217835
15750,23,28227,97,1400,85,1110,529,1232100,7225,16563.1638415446,-813.16384154461
19950,28,28000,110,1600,85,1130,784,1276900,7225,16243.4604133524,3706.53958664755
16950,23,28000,110,1600,85,1115,529,1243225,7225,16727.0854681107,222.914531889266
18750,31,25266,110,1600,85,1130,961,1276900,7225,15809.3335866496,2940.6664133504
18450,27,23489,110,1600,85,1115,729,1243225,7225,16125.1002851925,2324.89971480748
16895,29,22575,110,1600,85,1115,841,1243225,7225,15815.1155383517,1079.88446164828
14900,30,22000,97,1400,85,1110,900,1232100,7225,15504.7500158573,-604.750015857286
17250,29,20000,110,1600,85,1115,841,1243225,7225,15855.9768715417,1394.02312845831
15450,25,17003,97,1400,85,1110,625,1232100,7225,16400.389233487,-950.38923348696
17950,31,16238,110,1600,100,1180,961,1392400,10000,17359.0485204366,590.951479563446
16650,25,15414,97,1400,85,1110,625,1232100,7225,16425.6042464729,224.395753527075
17450,28,8537,110,1600,85,1130,784,1276900,7225,16552.308618353,897.691381647011
